;bname;gname;RNAP_1.0X_60min_1;RNAP_1.0X_60min_2;RNAP_1.0X_60min_3;RNAP_1.0X_125min_1;RNAP_1.0X_125min_2;RNAP_1.0X_125min_3;RNAP_0.5X_60min_1;RNAP_0.5X_60min_2;RNAP_0.5X_60min_3;RNAP_0.5X_125min_1;RNAP_0.5X_125min_2;RNAP_0.5X_125min_3;RNAP_0.25X_1;RNAP_0.25X_2;RNAP_0.25X_3;RNAP_0.5X_1;RNAP_0.5X_2;RNAP_0.5X_3;RNAP_0.75X_1;RNAP_0.75X_2;RNAP_0.75X_3;RNAP_1.0X_1;RNAP_1.0X_2;RNAP_1.0X_3;Start;End;Orientation;Length;Chr
22;b0021;insB1;93.0881537816688;80.1417239346566;85.425614969141;47.8042092120077;47.6943741439633;47.7887558156253;80.7067689058201;64.2125511593317;73.5733587472419;65.2880092711355;58.4002930095777;45.0173884958318;111.907520683056;83.4521424389615;64.569730691232;91.2764630308771;47.9563761791097;108.482101655954;129.285913778414;154.952798030923;116.665580234578;174.477636893288;56.0222684385598;87.2861641135154;19811;20314;-;504;NC_000913.3
23;b0022;insA1;71.7788173738169;49.9808600882805;64.8802139006134;30.873551782755;25.0395464255807;32.1842641207273;70.5024647912912;62.5002164617495;76.2650669940922;29.5514147227245;22.6065650359656;16.7711839494275;37.9347527739172;25.4427263533419;21.523243563744;21.8439398706373;20.5527326481899;22.8383371907272;31.3114322432095;34.2437122720272;23.8093020886893;47.3747226001643;17.1179153562266;19.2029561049734;20233;20508;-;276;NC_000913.3
24;b0023;rpsT;4526.55167063633;4558.599135638;4954.68566821018;455.135908539323;448.327116953255;456.431382075768;5398.07687658583;4995.73648019601;5261.39238651008;654.254577117063;443.33985876088;603.762622179391;6063.87023091067;4584.77928887222;2096.97887292477;2193.75567557971;2105.97000535119;2675.51120189369;1860.50510296748;2772.8846012274;2046.40951452285;2325.98333156416;1072.2039709491;1331.98686437225;20815;21078;-;264;NC_000913.3
25;b0024;yaaY;68.4141853094192;53.4278159564377;62.7175401039263;76.6859189442623;67.9644831551477;76.0718970126281;64.9364807288208;67.6372205544961;68.1899422535413;111.333236862357;69.7035755275604;68.8501235818604;19.9157452063065;10.1770905413368;16.3986617628526;49.9290054185995;35.6247365901958;33.1155889265544;64.6429568892068;56.5021252488449;54.7613948039854;123.636471176039;129.162452233346;132.674969452543;21181;21399;+;219;NC_000913.3
26;b0025;ribF;4118.30964682274;4124.28269625018;3937.14764686889;2015.74415510632;2278.59872472785;2189.50524094038;3934.22306815613;4107.03477215086;4087.80759088334;2324.94037225528;2446.53270500338;2358.55807962476;958.800876360758;826.379751956546;827.107502663876;1213.8989442397;930.353697874728;1083.67909970001;1359.52218707613;1185.68853741894;1290.46417320696;1209.78864786273;1240.27077626478;1166.14315255657;21407;22348;+;942;NC_000913.3
27;b0026;ileS;14659.7019045806;14952.0328170992;15330.1132078166;6711.51178916083;6801.21775292917;6099.40569124328;14744.291781484;15289.4365147113;14698.5214999673;8132.13698637206;9193.96440809921;8980.5276579724;4691.58054931421;5812.13640815743;6852.59078415201;4563.04301083419;6756.36831254828;5394.41524444976;4715.90571430792;3718.86715274215;4449.95856037603;3956.36707763323;7388.71473739672;5640.43192501537;22391;25207;+;2817;NC_000913.3
28;b0027;lspA;2651.33006674536;2780.83164663588;2528.16566832723;1260.8360179667;1298.4793360694;1242.50765120626;2466.65860368478;2521.41284218976;2649.53815098299;1364.1757726653;1700.51605881652;1418.48908456474;499.790367796359;554.651434502854;631.348477869824;553.119763152922;460.381211319453;511.578753072289;568.656011384741;457.153558831563;445.23394905849;455.259529377189;633.362868180384;528.954154527904;25207;25701;+;495;NC_000913.3
29;b0028;fkpB;585.445979205194;652.336398048764;708.275668415029;312.71920192855;331.475900300545;309.163991705168;642.871159215326;641.269344244526;593.073050389352;422.653954755245;386.823446170966;358.373720182504;590.833774453761;496.642018417235;464.287111160763;411.914294703446;280.887346191928;363.129561332562;406.03857296033;315.04215290265;248.807206826803;322.379209888923;392.155879069918;425.956480873955;25826;26275;+;450;NC_000913.3
30;b0029;ispH;1754.09484957265;1794.14052937586;2028.58802129251;828.606293008133;806.03492303298;712.930214310655;1872.02597301086;1850.17764073754;1736.15181921845;767.649540587982;831.419225211622;820.905319629874;1319.18102771297;1044.16948954115;1111.00933443326;844.892388567863;819.368941574503;620.060854728243;775.715482670482;622.379470544094;453.567204789532;343.177868591434;701.834529605291;710.509375884016;26277;27227;+;951;NC_000913.3
31;b0030;rihC;416.092831963845;425.699049717423;514.716363611533;5640.89668701691;5802.02061461314;5270.41706995182;425.797780778982;404.110988629394;454.001457635419;2432.83739810336;2709.02004347654;2577.46616485939;1289.78159431319;1420.72183957061;2090.8293747637;868.296609857831;4114.65707616761;1683.18545095659;888.840657226594;646.350069134513;1340.46370759321;1547.18911125902;2377.8340603922;1544.96510480922;27293;28207;+;915;NC_000913.3
32;b0031;dapB;1075.56071658579;1171.10325620643;1178.65721919448;1375.36693587047;1359.28966310295;1248.35933559184;1125.25644462942;1243.15499044466;1080.27224306926;1430.15102413929;1639.60392524739;1512.0546371247;514.964268905926;555.669143556988;643.647474191963;569.5027180559;1115.32829170844;681.724365143206;634.309014475342;698.571730349355;789.278364240051;666.712559519385;851.22724544145;752.406734658503;28374;29195;+;822;NC_000913.3
33;b0032;carA;698.721925373249;600.632060026405;619.606042750858;298.776307575048;350.55364995813;408.642626260143;756.973832495968;696.920221915947;787.773280244858;6975.50835896868;6412.72894853556;7112.74738234142;299.684546913946;199.470974610201;168.086283069239;303.474736059925;141.128764184237;231.809122485881;240.390995931738;225.152408188579;85.7134875192815;46.2192415611359;35.7920048357465;45.388805339028;29651;30799;+;1149;NC_000913.3
34;b0033;carB;1694.65301643496;1751.0535810239;1607.94796783687;1412.21601380473;1564.375471922;1559.47388875888;1810.80014832369;1902.4038490138;1895.8598418649;60698.6058404761;70123.0529010056;67771.4716457446;1132.35237030143;1026.86843562088;756.388273811574;601.48848715219;395.982649021791;552.687760015598;504.013054495534;443.456073922752;245.2358115135;183.721485205515;270.774297453039;219.961133566059;30817;34038;+;3222;NC_000913.3
35;b0034;caiF;23.5524244507837;24.1286910771009;29.196096255276;228.065914782287;233.70243330542;190.17974253157;22.2639362498814;15.4110122782396;21.5336659748025;404.098415278186;353.541558756906;338.954454556851;436.249656900048;483.411800713497;333.097817057943;360.425007865515;1034.48754329222;592.65485009937;411.0888039673;428.902496207141;517.852320428993;598.53917821671;421.723187412492;516.734091552011;34300;34695;+;396;NC_000913.3
36;b0035;caiE;7.85080815026122;18.0965183078257;16.2200534751533;20.9143415302534;32.1937025471752;22.431456811416;15.7702881769993;11.9863428830753;14.355777316535;52.2304074169084;52.7486517505863;47.6654701720572;88.1983001993575;86.5052696013626;85.0680578947976;79.5743523858929;154.830585949697;167.861778351845;95.9543891324164;106.155508043284;117.856045339012;154.834459229805;112.04453687712;94.2690572425967;34781;35371;-;591;NC_000913.3
37;b0036;caiD;34.7678646654425;37.0547755826907;35.6841176453374;45.8123671615073;71.541561215945;51.6898787393498;36.1788964060573;35.1028613004347;26.0198463862197;120.26738549946;168.293317489966;133.286777703345;12.3287946515231;22.3895991909409;14.348829042496;7.02126638699055;17.8123682950979;12.5610854549;8.08036961115085;9.41702087480748;8.33325573104126;9.24384831222718;28.0111342192799;24.4401259517843;35377;36162;-;786;NC_000913.3
38;b0037;caiC;153.651530940827;149.942580264841;129.760427801227;112.539075853268;122.813013420706;116.058406980804;151.209233697111;142.123779899321;163.296966975586;260.464794881688;226.065650359656;233.91388139991;203.899296159805;246.28559110035;189.609526632983;109.219699353186;106.874209770587;199.835450418863;88.8840657226594;111.292064884088;134.522556801095;82.0391537710162;96.4827956441863;64.5917614440014;36271;37824;-;1554;NC_000913.3
39;b0038;caiB;75.1434494382145;100.8234591436;90.8322994608587;62.7430245907601;58.4256083263551;49.7393172774876;104.826033176525;79.6235634375713;96.0042608043278;86.5925175596112;98.5897419624053;84.7386136392128;211.486246714588;164.868866769656;109.666050539076;140.425327739811;98.6531167113114;184.99053124489;179.788223848106;171.218561360136;142.855812532136;90.127521044215;102.70749213736;99.5062270894076;37898;39115;-;1218;NC_000913.3
40;b0039;caiA;69.5357293308851;59.459988725713;81.1002673757667;83.6573661210134;64.3874050943505;78.9977392054214;73.2854568225263;62.5002164617495;51.1424566901559;112.020479065211;103.613423081509;99.74440980449;198.209083243717;245.267882046216;162.961701268347;353.403741478524;190.455322539893;424.793071747526;426.239496988207;393.802691128313;408.329530821022;361.665565215888;178.960024178733;239.164089671032;39244;40386;-;1143;NC_000913.3
41;b0040;caiT;10.093896193193;12.0643455385505;16.2200534751533;12.9469733282521;16.6930309503872;19.5056146186226;16.6979521874111;15.4110122782396;12.5613051519681;26.1152037084542;20.7226846163018;14.1231022732021;7.58695055478344;8.14167243306942;15.3737454026743;6.24112567732493;27.4036435309198;26.2640877693363;17.1707854236956;14.5535777156116;11.9046510443447;20.7986587025112;12.4493929863466;6.98289312908124;40417;41931;-;1515;NC_000913.3
42;b0041;fixA;7.85080815026122;8.61738967039319;14.0573796784662;15.9347364040026;22.6548277183826;18.5303338876914;7.42131208329381;7.70550613911981;5.38341649370063;13.0576018542271;9.41940209831898;17.6538778415027;23.7092204836983;22.3895991909409;19.4734108433874;7.02126638699055;19.1825504716439;9.13533487629087;5.05023100696928;6.84874245440544;8.33325573104126;12.7102914293124;15.5617412329333;6.98289312908124;42403;43173;+;771;NC_000913.3
43;b0042;fixB;10.093896193193;15.5113014067077;10.8133689834356;14.9388153787524;28.616624486378;24.3820182732782;19.4809442186462;12.8425102318663;12.5613051519681;19.9300238827677;20.0947244764138;19.4192656256529;30.3478022191338;39.6906531112134;27.6727417248137;8.58154780632178;32.8843722371038;23.9802540502635;8.08036961115085;11.1292064884088;5.95232552217233;13.8657724683408;23.3426118493999;8.72861641135154;43188;44129;+;942;NC_000913.3
44;b0043;fixC;25.7955124937154;15.5113014067077;17.3013903734969;45.8123671615073;31.0013431935762;37.0606677753829;14.8426241665876;19.6918490221951;16.1502494811019;37.7983211569732;45.2131300719311;43.2520007116815;27.50269576109;35.6198168946787;27.6727417248137;7.02126638699055;39.7352831198337;25.1221709097999;15.1506930209078;17.1218561360136;14.2855812532136;20.7986587025112;35.7920048357465;15.7115095404328;44180;45466;+;1287;NC_000913.3
46;b0045;yaaU;13.4585282575907;21.543474175983;18.3827272718405;26.8898676817543;33.3860619007743;27.3078604660716;22.2639362498814;26.5411878125238;23.3281381393694;31.6131413312866;30.7700468545087;37.9558373592307;7.58695055478344;11.1947995954705;14.348829042496;7.02126638699055;9.59127523582194;4.56766743814544;7.07032340975699;13.6974849088109;10.7141859399102;12.7102914293124;14.0055671096399;12.2200629758922;45807;47138;+;1332;NC_000913.3
47;b0046;kefF;76.2649934596804;76.6947680664993;92.9949732575458;142.416706610773;114.466497945512;161.896601334567;63.0811527079973;75.3427266936159;91.5180803929106;184.180910364887;189.016002106268;195.075350148604;77.7662431865303;48.8500345984165;51.2458180089142;102.978573675861;56.1774692383856;58.2377598363543;80.8036961115085;105.299415236484;67.8565109527646;88.9720400051866;126.050103986759;90.7776106780561;47246;47776;+;531;NC_000913.3
48;b0047;kefC;368.987983062277;367.10079995875;344.946470571594;473.062486993826;565.178333605965;515.923506662567;355.295315987691;365.583457933795;375.044682394477;797.200955310707;910.542202837501;857.978463097029;439.094763358092;350.091914621985;683.619212238916;521.133994056632;413.795017316889;454.482910095471;489.87240767602;425.478124979938;461.900460520573;248.428423391105;638.031390550264;658.137677415906;47769;49631;+;1863;NC_000913.3
49;b0048;folA;693.114205265919;735.063338884539;764.505187128894;252.963940413541;177.661543686263;173.599970105741;820.054985203966;761.132773075279;792.259460656275;342.246617021321;252.439976234949;275.400494327441;1868.28657411542;1299.61446212871;773.811851934605;545.318356056266;419.275746023073;421.367321168917;515.123562710867;548.755489159236;411.900926134325;495.701365743183;508.868938316918;689.560696496772;49823;50302;+;480;NC_000913.3
50;b0049;apaH;1759.70256967998;1639.02751530878;1594.97192505675;1356.44443639072;1364.05910051735;1326.38179406634;1417.47060790912;1570.21091768286;1531.58199245783;1531.17562795884;1675.397653221;1528.82582107413;1010.01279260555;923.062112099245;688.743794039807;772.33930256896;500.116494439287;612.067436711489;836.318254754113;736.239813848585;638.089295976874;534.987721070148;852.783419564743;818.744219384775;50380;51222;-;843;NC_000913.3
51;b0050;apaG;445.252976521958;446.380784926367;427.128074845705;250.97209836304;234.894792659019;268.20220100606;417.448804685277;410.104160070932;414.523070014948;287.95448299585;227.949530779319;281.579351571967;735.934203813994;733.768228030381;697.968041281412;817.587463729566;543.962324088758;629.196189604534;864.599548393141;766.203062086609;710.707667347376;688.666699260925;1009.95700601737;996.807994176346;51229;51606;-;378;NC_000913.3
52;b0051;rsmA;2949.66077645529;2900.61336305435;2900.14556135742;1480.93456454699;1422.48470884371;1357.59077745613;2917.50331274488;3005.14739425672;2632.49066541961;1360.05231944818;1377.74454691412;1513.82002490885;1775.34642981933;1541.82921701252;1255.5225412184;1721.77054623202;1135.88102435663;1272.0953815235;1982.72069333614;1575.21076451325;1426.17719511249;1380.79984163894;1627.75813296482;1651.45422502771;51609;52430;-;822;NC_000913.3
53;b0052;pdxA;3443.14014590028;3427.99761088241;3178.04914423171;1504.83666915299;1749.19117172985;1713.56824424599;2989.86110555699;3057.37360253298;2896.27807361094;1790.26593843482;1909.6267853992;1923.38999083171;884.828108451619;1069.61221589449;940.873218643666;1000.92053050099;698.792910038455;952.358660853324;1147.41248478342;1092.37442147767;945.229292920966;849.278563685872;768.750016906904;939.199125861426;52427;53416;-;990;NC_000913.3
54;b0053;surA;4257.38110548451;4578.4191318799;5161.22101579379;2993.73860190198;2927.24221308575;2409.91868613082;4601.21349164216;4890.4278962947;4199.06486508649;2330.43830987811;2878.56928124628;3000.27653916338;4041.94790806088;4719.11688401786;4621.34786804389;4354.74544135347;3256.92303364982;3832.27298060402;4768.4281167804;3819.03001113783;3853.53554305437;4497.13220389852;4659.18532514022;4762.3331140334;53416;54702;-;1287;NC_000913.3
55;b0054;lptD;9340.21861076792;9199.06347314472;8823.70909048342;5395.90011480537;5892.63992548667;6232.04387064991;9207.99296734679;9198.66199541147;8996.58619705603;5396.91301901291;5565.61071982674;5778.11421752382;6439.42428337245;6161.21061372528;6531.79196341621;7414.45730466202;5908.22554526631;7167.81212730973;8101.58058138012;7674.0159201613;8910.63130669198;7525.64800719195;8484.26132019522;9926.18258298898;54755;57109;-;2355;NC_000913.3
56;b0055;djlA;1379.49914640304;1356.37713411989;1278.14021384208;677.226297170109;739.262799231431;751.9414435479;1346.04047910741;1309.93604365037;1436.47496773578;690.678413868328;638.007502126139;662.903112948425;533.931645292885;396.906531112134;337.197482498656;347.942756510865;324.7331758414;351.710392737199;326.244923050216;464.858394092769;385.710693836767;465.658858728444;280.111342192799;268.841385469628;57364;58179;+;816;NC_000913.3
57;b0056;yabP;215.336452121451;218.019958660948;201.128663091901;52.7838143382585;58.4256083263551;58.5168438558677;240.264978696637;228.596682127221;242.253742216528;64.6007670682814;55.8884524500259;67.0847357977101;222.866672546764;171.992830148591;151.687621306386;133.40406135282;76.7302018865755;114.191685953636;115.1452669589;128.413921020102;110.713254712405;108.615217668669;85.589576781133;94.2690572425967;58474;59124;+;651;NC_000913.3
58;b0057;yabQ;25.7955124937154;20.6817352089436;34.6027807469938;26.8898676817543;17.8853903039862;14.6292109639669;22.2639362498814;26.5411878125238;8.97236082283438;10.9958752456649;10.0473622382069;15.0057961652773;88.1983001993575;73.2750518976248;79.9434760939062;68.6523824505743;90.4320236520354;69.6569284317179;74.7434189031454;65.0630533168517;79.7611619971092;90.127521044215;74.6963579180797;82.0489942667045;59121;59279;+;159;NC_000913.3
59;b0058;rluA;1424.36090726168;1523.55449372552;1553.88112291969;200.180126075282;182.43098110066;132.638179406634;1777.40424394887;1833.91046111051;1714.61815324365;220.604747116152;223.553809800104;194.192656256529;204.847664979153;294.117916644633;239.830428281719;266.027981995975;163.051679008973;206.686951576081;285.843074994461;260.252213267407;199.99813754499;346.644311708519;353.251525987585;298.518681268223;59687;60346;-;660;NC_000913.3
60;b0059;rapA;4607.30284018187;4794.71561260677;5481.29673770349;397.372489074814;406.594539577287;413.519029914799;5937.97733064546;6047.10998451147;5440.83960296677;492.065417243505;538.789800023846;571.102948172611;1200.63492529448;1197.84355671534;977.770207610084;1029.78573675861;805.667119809043;853.01189407366;941.363059699074;832.978301017062;726.183713705024;1023.75620057916;1534.38768556722;1389.59573268717;60358;63264;-;2907;NC_000913.3
61;b0060;polB;782.83772698319;825.545930423667;820.734705842759;976.998525770407;926.463217746487;988.934661164165;743.058872339792;760.276605726488;698.049672016514;968.324263821367;943.824090251562;987.734465232074;447.630082732223;500.712854633769;447.888449397911;742.693955601667;530.260502323299;689.717783159961;842.378531962476;798.734588745034;930.943711667752;738.352383939146;986.614394167969;1155.66881286294;63429;65780;-;2352;NC_000913.3
62;b0061;araD;25.7955124937154;21.543474175983;29.196096255276;87.6410502220141;93.0040295807284;72.1707740889035;31.5405763539987;19.6918490221951;17.9447216456688;50.8559230112002;60.2841734292415;45.0173884958318;129.926528250666;139.426140416314;124.014879581572;75.6736488375648;183.604411657163;149.591108599263;80.8036961115085;58.2143108624462;74.9993015793713;63.5514571465619;65.3593131783197;52.3716984681093;65855;66550;-;696;NC_000913.3
63;b0062;araA;53.8341130303627;43.9486873190052;50.8228342221471;407.331699327315;436.403523417264;400.840380412694;65.8641447392325;53.9385429738386;41.2728597850381;259.09031047598;247.416295115845;287.758208816493;425.817599887221;416.243003140674;474.536274762546;294.113047543937;797.446026749767;535.559007122553;265.642150966584;251.6912851994;308.330462048527;224.163321571509;429.504058028958;474.836732777524;66835;68337;-;1503;NC_000913.3
64;b0063;araB;48.2263929230332;43.0869483519659;47.5788235271165;324.670254231552;406.594539577287;417.420152838523;26.90225630194;23.1165184173594;24.2253742216528;309.94623348718;312.096189524302;353.077556830053;179.241706856759;151.638649065918;171.161032149774;117.801247159508;200.046597775715;167.861778351845;70.7032340975699;103.587229622882;94.0467432503228;101.682331434499;267.661949206452;232.181196541951;68348;70048;-;1701;NC_000913.3
65;b0064;araC;188.419395606269;198.199962419043;185.989946515092;1397.27719842597;1491.64155135245;1536.06715121653;180.894482030287;195.206155524368;221.617312324009;2153.12982154176;2319.68475674602;2251.75211868366;675.238599375726;664.564012349291;594.451488903405;801.204508826588;1303.04324989524;698.853118036252;735.313634614727;722.542328939774;696.422086094163;641.291976660761;2676.61949206452;2114.07089482934;70387;71265;+;879;NC_000913.3
66;b0065;yabI;715.545085695237;712.658125741516;539.587112273435;833.585898134384;994.427700901635;1105.9683488759;795.935720933261;784.249291492638;863.141111156667;1029.48881987538;1044.92567277352;1070.70769108714;243.730786572418;253.409554479286;218.307184717975;272.2691076733;328.843722371038;306.033718355744;351.496078085062;405.787990423522;411.900926134325;424.061541323422;536.880072536198;521.971261398822;71351;72115;+;765;NC_000913.3
67;b0066;thiQ;434.037536307299;367.962538925789;366.573208538466;65.7307876665106;65.5797644479495;72.1707740889035;351.584659946044;399.830151885439;402.859000945264;138.135682773666;121.824267138259;136.817553271646;76.8178743671824;79.3813062224268;91.2175560558674;70.9928045795711;56.1774692383856;71.9407621507906;78.7836037087208;104.443322429683;109.522789607971;84.350115849073;84.0334026578397;111.7262900653;72229;72927;-;699;NC_000913.3
68;b0067;thiP;557.407378668547;592.876409323051;602.304652377361;86.6451291967639;106.119982470318;83.8741428600771;599.270950725975;608.734984990465;672.029825630295;103.086330428109;123.708147557923;101.50979758864;54.057022702832;46.8146164901492;44.0714034876663;48.3687239992682;50.6967405322017;43.3928406623817;48.4822176669051;47.0851043740374;38.0948833419029;38.1308742879371;38.9043530823332;20.9486793872437;72911;74521;-;1611;NC_000913.3
69;b0068;thiB;923.030729666426;866.047661874515;780.725240604048;132.457496358271;155.006715967881;175.550531567603;1035.27303561949;1066.7845165937;996.829287416899;178.682972742055;167.03739721019;176.538778415027;126.133052973275;99.7354873051004;120.940130501038;124.822513546499;119.205849359501;123.327020829927;110.09503595193;109.579879270487;109.522789607971;120.170028058953;77.8087061646663;69.8289312908123;74497;75480;-;984;NC_000913.3
