,bname,gname,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Start,End,Orientation,Length,Chr
106,b0116,lpd,13403.13425,-0.474814665,0.491930854,-0.965206109,0.334441588,0.602373927,127912,129336,+,1425,NC_000913.3
107,b0117,yacH,114.1088688,-0.113169029,0.236444551,-0.478628197,0.632203155,0.81252784,129407,131260,-,1854,NC_000913.3
108,b0118,acnB,21959.95933,-1.022365532,0.52443499,-1.949460946,0.051240402,0.229230785,131615,134212,+,2598,NC_000913.3
109,b0119,yacL,747.370883,0.194302777,0.43045238,0.451392038,0.651707021,0.825196576,134388,134750,+,363,NC_000913.3
110,b0120,speD,770.0532431,4.32E-05,0.240040219,0.000180128,0.999856279,0.999856279,134788,135582,-,795,NC_000913.3
111,b0121,speE,723.9332435,-0.156243972,0.247833081,-0.630440339,0.528406525,0.749415502,135598,136464,-,867,NC_000913.3
112,b0122,yacC,222.0000558,0.580175797,0.390068429,1.487369278,0.136917306,0.378988839,136570,136917,-,348,NC_000913.3
113,b0123,cueO,378.0572373,-0.188635875,0.233558522,-0.807659997,0.419286338,0.66963227,137083,138633,+,1551,NC_000913.3
114,b0124,gcd,1209.612991,-1.598677595,0.553563888,-2.887973058,0.003877331,0.058935428,138835,141225,-,2391,NC_000913.3
115,b0125,hpt,713.6407135,-0.056413287,0.186679933,-0.302192562,0.762505274,0.882820007,141431,141967,+,537,NC_000913.3
116,b0126,can,1087.191594,-0.177476354,0.202789069,-0.875177121,0.38147754,0.638082475,142008,142670,-,663,NC_000913.3
117,b0127,yadG,348.6342776,-0.182993393,0.184657247,-0.990989504,0.321690706,0.588503771,142779,143705,+,927,NC_000913.3
118,b0128,yadH,346.1145831,-0.080360607,0.201589239,-0.398635401,0.690161873,0.845708345,143702,144472,+,771,NC_000913.3
119,b0129,yadI,348.8748708,0.30926027,0.242928488,1.273050655,0.203000067,0.462775303,144577,145017,+,441,NC_000913.3
120,b0130,yadE,284.8947253,0.765600832,0.340217352,2.250328586,0.024428095,0.157517245,145081,146310,+,1230,NC_000913.3
121,b0131,panD,986.7302457,0.350508162,0.232565544,1.507137111,0.131775516,0.370222007,146314,146694,-,381,NC_000913.3
122,b0132,rpnC,112.6474495,0.173411685,0.309326717,0.56061011,0.575063358,0.773751123,146968,147870,+,903,NC_000913.3
123,b0133,panC,2162.163546,-0.030472446,0.247278346,-0.123231355,0.901923897,0.949450751,147944,148795,-,852,NC_000913.3
124,b0134,panB,1336.025437,-0.10356317,0.233424233,-0.443669317,0.657281682,0.82716226,148807,149601,-,795,NC_000913.3
125,b0135,yadC,14.85463329,0.049184963,0.485380396,0.101332816,0.919286267,NA,149715,150953,-,1239,NC_000913.3
126,b0137,yadL,11.3590423,-1.030998236,0.681628367,-1.512551834,0.130393537,NA,151626,152231,-,606,NC_000913.3
127,b0139,htrE,12.00633368,0.207398225,0.507436565,0.40871754,0.68274696,NA,152829,155426,-,2598,NC_000913.3
128,b0142,folK,131.1711466,0.590582486,0.32498638,1.817253034,0.069178378,0.267530541,157253,157732,-,480,NC_000913.3
129,b0143,pcnB,1529.725197,0.679421225,0.241929506,2.80834379,0.004979703,0.067857158,157729,159126,-,1398,NC_000913.3
130,b0144,gluQ,225.028251,0.441320721,0.291349356,1.514747542,0.12983635,0.367443871,159186,160112,-,927,NC_000913.3
131,b0145,dksA,4859.738668,-0.503363827,0.279942063,-1.798100015,0.07216116,0.274221859,160149,160604,-,456,NC_000913.3
132,b0146,sfsA,1993.918791,-0.497915983,0.435665843,-1.142885061,0.253086316,0.521351192,160782,161486,-,705,NC_000913.3
133,b0147,thpR,113.572271,0.338532787,0.255615536,1.324382675,0.185375985,0.440267965,161501,162031,-,531,NC_000913.3
134,b0148,hrpB,793.4520689,0.321969507,0.228227912,1.410736768,0.158322245,0.408141765,162105,164534,+,2430,NC_000913.3
135,b0149,mrcB,1274.967782,-0.081184473,0.227721988,-0.356506955,0.721460944,0.861416483,164730,167264,+,2535,NC_000913.3
136,b0150,fhuA,370.8268458,0.064653342,0.224191567,0.288384363,0.773052536,0.888032234,167484,169727,+,2244,NC_000913.3
137,b0151,fhuC,113.1013079,0.462858494,0.2869946,1.61277771,0.106792811,0.331864592,169778,170575,+,798,NC_000913.3
138,b0152,fhuD,68.953314,0.369023399,0.333839023,1.105393241,0.268989231,0.53736363,170575,171465,+,891,NC_000913.3
139,b0153,fhuB,113.0836685,0.692599589,0.248561847,2.786427597,0.005329252,0.070425368,171462,173444,+,1983,NC_000913.3
140,b0154,hemL,2413.822434,0.663946423,0.193869612,3.424706004,0.000615465,0.020931817,173602,174882,-,1281,NC_000913.3
141,b0155,clcA,859.0698238,-0.268807666,0.192320481,-1.397706911,0.162201098,0.411505834,175107,176528,+,1422,NC_000913.3
142,b0156,erpA,986.423553,0.073170057,0.191949384,0.381194543,0.703058898,0.852547315,176610,176954,+,345,NC_000913.3
143,b0157,yadS,116.8969353,0.643514059,0.361611959,1.779570731,0.07514624,0.276629988,177001,177624,-,624,NC_000913.3
144,b0158,btuF,212.1473969,0.514196501,0.235612806,2.182379258,0.029081554,0.17030002,177662,178462,-,801,NC_000913.3
145,b0159,mtn,1085.662786,-0.26020782,0.2335296,-1.114239135,0.26517661,0.53293079,178455,179153,-,699,NC_000913.3
146,b0160,dgt,524.9766491,-0.029463448,0.267159541,-0.110284096,0.91218407,0.954789075,179237,180754,+,1518,NC_000913.3
147,b0161,degP,1423.178776,-0.681288553,0.407051868,-1.673714354,0.094186751,0.310049978,180884,182308,+,1425,NC_000913.3
148,b0162,cdaR,1178.675088,1.495204862,0.675600454,2.213149583,0.026887335,0.16468163,182463,183620,+,1158,NC_000913.3
149,b0163,yaeH,3103.408903,0.290600753,0.292312837,0.994142975,0.320153266,0.586775875,183709,184095,-,387,NC_000913.3
150,b0164,yaeI,134.6148532,0.49718225,0.294982566,1.685463169,0.091899245,0.306684279,184257,185069,-,813,NC_000913.3
151,b0166,dapD,2538.505704,-0.593184142,0.323240701,-1.835115876,0.066488522,0.264441267,185123,185947,-,825,NC_000913.3
152,b0167,glnD,748.3457566,0.152430118,0.200619258,0.759798035,0.447375318,0.6903468,185978,188650,-,2673,NC_000913.3
153,b0168,map,1220.248364,0.078354109,0.181184267,0.432455371,0.665410482,0.830920862,188712,189506,-,795,NC_000913.3
154,b4414,tff,285.2370045,-0.110781282,0.253846635,-0.436410283,0.66253908,0.829597644,189712,189847,+,136,NC_000913.3
155,b0169,rpsB,7194.594665,0.245522614,0.247651365,0.991404245,0.321488228,0.588441281,189874,190599,+,726,NC_000913.3
156,b0170,tsf,3386.267485,0.145105546,0.266368076,0.54475577,0.585921502,0.780633221,190857,191708,+,852,NC_000913.3
157,b0171,pyrH,805.1823375,0.344803064,0.256851182,1.342423502,0.179458719,0.431490839,191855,192580,+,726,NC_000913.3
158,b0172,frr,4352.76828,-0.279226773,0.179475799,-1.555790669,0.119757878,0.354564551,192872,193429,+,558,NC_000913.3
159,b0173,dxr,733.2372103,0.037514732,0.211746627,0.177168028,0.859376409,0.932747571,193521,194717,+,1197,NC_000913.3
160,b0174,uppS,1383.539634,0.565128513,0.2719513,2.078050421,0.037704715,0.199117349,194903,195664,+,762,NC_000913.3
161,b0175,cdsA,846.4932798,0.235213796,0.19714053,1.193127542,0.232819426,0.499746716,195677,196534,+,858,NC_000913.3
162,b0176,rseP,1956.706279,0.039290198,0.180010096,0.218266637,0.827221367,0.918392551,196546,197898,+,1353,NC_000913.3
163,b0177,bamA,7154.53459,-0.194448701,0.187864979,-1.035044966,0.300647912,0.568700801,197928,200360,+,2433,NC_000913.3
164,b0178,skp,3766.93948,-0.397729462,0.277159738,-1.435018898,0.151281713,0.398741098,200482,200967,+,486,NC_000913.3
165,b0179,lpxD,3577.876857,-0.16780205,0.203906284,-0.822937118,0.410543754,0.66171552,200971,201996,+,1026,NC_000913.3
166,b0180,fabZ,1254.469451,-0.282087868,0.264247809,-1.067512609,0.285740423,0.553740864,202101,202556,+,456,NC_000913.3
167,b0181,lpxA,1782.152787,-0.174589759,0.254576865,-0.685803713,0.492836895,0.724845513,202560,203348,+,789,NC_000913.3
168,b0182,lpxB,806.132802,0.072669398,0.228898754,0.317473979,0.750883981,0.873525051,203348,204496,+,1149,NC_000913.3
169,b0183,rnhB,228.5633467,0.198237777,0.224433256,0.883281652,0.377084114,0.635931531,204493,205089,+,597,NC_000913.3
170,b0184,dnaE,1410.968387,-0.1095114,0.197540773,-0.554373655,0.579323152,0.776488052,205126,208608,+,3483,NC_000913.3
171,b0185,accA,1728.038296,0.052813415,0.267262693,0.197608633,0.84335128,0.926282148,208621,209580,+,960,NC_000913.3
172,b0186,ldcC,1469.240826,-1.030507497,0.355940827,-2.895165207,0.00378959,0.05836303,209679,211820,+,2142,NC_000913.3
173,b0187,yaeR,281.8520759,-0.779297611,0.270914013,-2.876549656,0.004020489,0.060066798,211877,212266,+,390,NC_000913.3
174,b0188,tilS,521.7566865,-0.135716929,0.223498338,-0.607239095,0.543692251,0.757874046,212331,213629,+,1299,NC_000913.3
175,b0189,rof,728.931148,-0.532103938,0.292800182,-1.817293744,0.069172147,0.267530541,213678,213932,-,255,NC_000913.3
176,b4406,yaeP,436.8920074,-0.585344932,0.238419767,-2.455102359,0.014084448,0.119512693,213925,214125,-,201,NC_000913.3
177,b0190,yaeQ,255.6443693,0.272523058,0.194695809,1.399737665,0.16159189,0.410949387,214291,214836,+,546,NC_000913.3
178,b0191,arfB,188.4278543,-0.130027394,0.221265733,-0.587652646,0.556765466,0.764513774,214833,215255,+,423,NC_000913.3
179,b0192,nlpE,676.5188442,-0.282717675,0.236217026,-1.196855621,0.231362835,0.497750443,215269,215979,+,711,NC_000913.3
180,b0193,yaeF,106.1885344,0.196472529,0.305682653,0.642733655,0.520396939,0.74318125,216179,217003,-,825,NC_000913.3
181,b0194,proS,4073.294411,0.477396997,0.21517687,2.218625998,0.026512179,0.164037961,217057,218775,-,1719,NC_000913.3
182,b0195,trmO,226.6296563,0.934521002,0.316530026,2.952392901,0.003153214,0.053753733,218887,219594,-,708,NC_000913.3
183,b0196,rcsF,350.7730565,0.554856231,0.259111671,2.14137877,0.032243506,0.183021529,219591,219995,-,405,NC_000913.3
184,b0197,metQ,1739.122785,0.073795471,0.314533259,0.234618975,0.81450448,0.909147131,220113,220928,-,816,NC_000913.3
185,b0198,metI,292.9940981,0.472720976,0.389150946,1.21474965,0.22446159,0.490705254,220968,221621,-,654,NC_000913.3
186,b0199,metN,395.3685698,0.600453979,0.507300626,1.183625543,0.236561325,0.502441306,221614,222645,-,1032,NC_000913.3
187,b0200,gmhB,542.6083727,0.355686819,0.305158179,1.165581798,0.24378357,0.511563333,222833,223408,+,576,NC_000913.3
188,b0201,rrsH,1762.161229,2.386526952,1.306575837,1.826550656,0.067767358,0.266629908,223771,225312,+,1542,NC_000913.3
189,b0203,alaV,32.09761273,0.839083463,0.586957126,1.429548132,0.152846751,NA,225500,225575,+,76,NC_000913.3
190,b0204,rrlH,4594.432671,1.934387236,1.385922975,1.395739352,0.162792999,0.412408932,225759,228662,+,2904,NC_000913.3
191,b0207,dkgB,90.50346387,-0.275372188,0.403517315,-0.682429671,0.4949673,0.725358078,229167,229970,+,804,NC_000913.3
192,b0208,yafC,293.5624972,-0.271564745,0.305621766,-0.888564806,0.374237012,0.634610567,229967,230881,-,915,NC_000913.3
193,b0209,yafD,1321.280176,-0.240558851,0.268586891,-0.895646283,0.370441708,0.632198998,231122,231922,+,801,NC_000913.3
194,b0210,yafE,200.9334752,0.236312102,0.326139765,0.724573106,0.468713963,0.709054095,231926,232549,+,624,NC_000913.3
195,b0211,mltD,1852.40768,0.757139692,0.484776554,1.561832322,0.118327495,0.353194983,232597,233955,-,1359,NC_000913.3
196,b0212,gloB,390.0963431,-1.004950935,0.262499313,-3.828394538,0.000128982,0.007910889,234027,234782,-,756,NC_000913.3
197,b0213,yafS,377.3418891,0.457972012,0.255344583,1.793545047,0.072885814,0.274221859,234816,235538,+,723,NC_000913.3
198,b0214,rnhA,253.2896477,0.169627371,0.205948052,0.823641543,0.410143264,0.661374931,235535,236002,-,468,NC_000913.3
199,b0215,dnaQ,701.5203885,-0.045121286,0.22797778,-0.197919666,0.843107917,0.926282148,236067,236798,+,732,NC_000913.3
200,b0216,aspV,34.1481114,0.153901547,0.382386046,0.402476891,0.687333092,NA,236931,237007,+,77,NC_000913.3
201,b0217,yafT,22.6288601,0.810696951,0.539423555,1.502894978,0.132866128,NA,237335,238120,+,786,NC_000913.3
202,b0219,yafV,484.9956273,0.005514128,0.262573925,0.021000286,0.983245427,0.992372996,239419,240189,-,771,NC_000913.3
203,b0220,ivy,2018.252495,-0.459165569,0.440783489,-1.041703196,0.297549307,0.566066887,240343,240816,+,474,NC_000913.3
204,b0221,fadE,525.6770706,-1.392217298,0.674363008,-2.064492389,0.038971055,0.201858508,240859,243303,-,2445,NC_000913.3
205,b0222,gmhA,1173.438085,-0.5531416,0.309278251,-1.788491746,0.073696706,0.275264245,243543,244121,+,579,NC_000913.3
206,b0223,yafJ,517.6674076,-0.151201877,0.281572288,-0.536991329,0.591273603,0.785668004,244327,245094,+,768,NC_000913.3
207,b0224,ldtF,719.716497,0.867268708,0.352728919,2.458740016,0.013942554,0.119189038,245065,245805,-,741,NC_000913.3
208,b0225,yafQ,299.6373243,0.624402683,0.405664168,1.539210837,0.123752833,0.359037264,245961,246239,-,279,NC_000913.3
209,b0226,dinJ,398.389136,0.071720719,0.240093699,0.298719703,0.765153922,0.883763111,246242,246502,-,261,NC_000913.3
210,b0227,yafL,47.99839583,-0.368119785,0.372197624,-0.989043889,0.322641669,0.589262015,246712,247461,+,750,NC_000913.3
211,b0228,rayT,209.9250537,0.072395181,0.373365737,0.193898834,0.846255097,0.92772274,247637,248134,+,498,NC_000913.3
212,b0231,dinB,311.4004466,-0.041525521,0.220191246,-0.188588427,0.850415404,0.929078829,250898,251953,+,1056,NC_000913.3
