Gene_name	Locus_tag	NCBI_gene_ID	Uniprot_ID	Synonyms	Product_function	NDA_component
SCO2101	SCO2101	1097535	Q9S2V5			Basal machinery
SCO2103	SCO2103	1097537	Q9S2V3			Basal machinery
SCO2120	SCO2120	1097554	Q9S2M4			Global regulator
SCO2183	SCO2183	1097616	Q9S2Q3			Basal machinery
SCO2195	SCO2195	1097628	Q9S2P1			Basal machinery
SCO2210	SCO2210	1097643	Q7AKP2		glutamine synthetase	Basal machinery
SCO2231	SCO2231	1097664	Q7AKP1		maltose-binding protein	Basal machinery
SCO2262	SCO2262	1097695	Q9RKR6			Basal machinery
SCO2286	SCO2286	1097719	Q9RKP2		alkaline phosphatase	Basal machinery
SCO2334	SCO2334	1097768	Q9KXI6			Basal machinery
SCO2350	SCO2350	1097784	Q9KY40			Basal machinery
SCO2371	SCO2371	1097805	Q9KY19			Basal machinery
SCO2373	SCO2373	1097807	Q8CJZ8			Basal machinery
SCO2386	SCO2386	1097820	Q9RDP8			M12
SCO2387	SCO2387	1097821	Q7AKN9			M12
SCO2400	SCO2400	1097834	Q9RDN7			Basal machinery
SCO2404	SCO2404	1097838	Q9RDN3			Basal machinery
SCO2428	SCO2428	1097862	Q9KXY7			Basal machinery
SCO2473	SCO2473	1097907	Q9L2E6			Basal machinery
SCO2478	SCO2478	1097912	Q9L2E1			Basal machinery
SCO2486	SCO2486	1097920	Q9L2D3			Basal machinery
SCO2503	SCO2503	1097937	Q9L2I0			Basal machinery
SCO2505	SCO2505	1097939	Q9L2H8		ABC-transporter metal-binding lipoprotein	Basal machinery
SCO2508	SCO2508	1097942	Q9L2H5		metal uptake regulation protein	Global regulator
SCO2527	SCO2527	1097961	Q9L2F6			Basal machinery
SCO2529	SCO2529	1097963	Q9L2L8			Basal machinery
SCO2532	SCO2532	1097966	Q9L2L5			Basal machinery
SCO2603	SCO2603	1098037	Q9L1H4			Basal machinery
SCO2611	SCO2611	1098045	Q9L1G6			Basal machinery
SCO2616	SCO2616	1098050	Q8CJZ0			Basal machinery
SCO2652	SCO2652	1098086	Q9L1Y3			Basal machinery
SCO2686	SCO2686	1098120	Q9KYI6			Basal machinery
SCO2699	SCO2699	1098133	Q9KYH3			Basal machinery
SCO2700	SCO2700	1098134	Q9KYH2			Basal machinery
SCO2727	SCO2727	1098161	Q9L1J0			Basal machinery
SCO2758	SCO2758	1098192	Q9RDG9			Basal machinery
SCO2782	SCO2782	1098216	Q9L072		pyridoxal-dependent decarboxylase	M13
SCO2792	SCO2792	1098226	Q9L062		AraC family transcription regulator	Global regulator
SCO2817	SCO2817	1098251	Q93J80			Basal machinery
SCO2833	SCO2833	1098267	Q9RDB8			Basal machinery
SCO2878	SCO2878	1098312	Q9KZS3		hypothetical protein	Basal machinery
SCO2879	SCO2879	1098313	Q9KZS2			Basal machinery
SCO2905	SCO2905	1098338	Q9S2H6			Basal machinery
SCO2906	SCO2906	1098339	Q9S2H5			Basal machinery
SCO2907	SCO2907	1098340	Q9S2H4		PTS transmembrane component	Intermodular
SCO2914	SCO2914	1098347	Q9S2G7			Basal machinery
SCO2924	SCO2924	1098357	Q9S2F7			Basal machinery
SCO2928	SCO2928	1098361	Q9S2F3		transcription regulator AsnC	M14
SCO2935	SCO2935	1098368	Q9R3R2		transcriptional regulator	M14
SCO2958	SCO2958	1098391	Q9L1T7			Global regulator
SCO2959	SCO2959	1098392	Q9L1T6			Basal machinery
SCO2964	SCO2964	1098397	Q9L1T1			Basal machinery
SCO2967	SCO2967	1098400	Q9L1S8			Basal machinery
SCO2978	SCO2978	1098411	Q9L057			Basal machinery
SCO2986	SCO2986	1098419	Q9L049		hypothetical protein	M9
SCO2987	SCO2987	1098420	Q9L048		regulatory protein	M9
SCO3013	SCO3013	1098446	Q9KYW8			M5
SCO3063	SCO3063	1098496	Q9KZ82			Global regulator
SCO3081	SCO3081	1098514	Q9KZ67			Basal machinery
SCO3082	SCO3082	1098515	Q9KZ66			Basal machinery
SCO3128	SCO3128	1098562	Q9K3T6			M17
SCO3129	SCO3129	1098563	Q9K3T5			M17
SCO3130	SCO3130	1098564	Q9K3T4			M17
SCO3133	SCO3133	1098567	Q9K3T1			Global regulator
SCO3139	SCO3139	1098573	Q9K3S5			Basal machinery
SCO3194	SCO3194	1098628	Q9KYV1			Basal machinery
SCO3201	SCO3201	1098635	Q9KYU4			M1
SCO3217	SCO3217	1098651	Q9Z389		transcriptional regulator	M24
SCO3224	SCO3224	1098658	Q9S6T6		ABC transporter ATP-binding protein	Basal machinery
SCO3225	SCO3225	1098659	Q7AKM4		two component sensor kinase	Basal machinery
SCO3226	SCO3226	1098660	Q7AKM3		two component system response regulator	M24
SCO3229	SCO3229	1098663	Q9Z4X7		4-hydroxyphenylpyruvic acid dioxygenase	M14
SCO3230	SCO3230	1098664	Q9Z4X6		CDA peptide synthetase I	Basal machinery
SCO3249	SCO3249	1098683	Q9Z4Y2		acyl carrier protein	Basal machinery
SCO3261	SCO3261	1098695	Q9X8D4			Basal machinery
SCO3288	SCO3288	1098722	Q9X880			M20
SCO3291	SCO3291	1098725	Q9X883			M20
SCO3323	SCO3323	1098757	Q9WX11		RNA polymerase sigma factor	M4
SCO3328	SCO3328	1098762	Q9WX06		hypothetical protein	Basal machinery
SCO3361	SCO3361	1098798	Q7AKL8			M30
SCO3362	SCO3362	1098799	Q9X8L9			M30
SCO3396	SCO3396	1098833	Q9X8H6			Basal machinery
SCO3615	SCO3615	1099051	Q9XAI7			Basal machinery
SCO3616	SCO3616	1099052	Q9XAI6			Basal machinery
SCO3731	SCO3731	1099167	Q9L0X3			Basal machinery
SCO3790	SCO3790	1099226	Q9F2J1			Basal machinery
SCO3791	SCO3791	1099227	Q9F2J0			Basal machinery
SCO3867	SCO3867	1099303	Q9KXY1			Basal machinery
SCO3868	SCO3868	1099304	Q9KXY0			Basal machinery
SCO3901	SCO3901	1099337	Q9X8T7			Basal machinery
SCO3925	SCO3925	1099361	Q9X9U3		transcriptional regulator	M15.1
SCO3926	SCO3926	1099362	Q9X9U2		regulator	M15.1
SCO3943	SCO3943	1099379	Q7AKK8			Basal machinery
SCO3978	SCO3978	1099414	Q93J29			Basal machinery
SCO3979	SCO3979	1099415	Q93J28			Basal machinery
SCO3999	SCO3999	1099435	Q9ADQ6			Basal machinery
SCO4011	SCO4011	1099447	Q7AKK7			Basal machinery
SCO4034	SCO4034	1099470	Q9ADM4		RNA polymerase sigma factor	Basal machinery
SCO4075	SCO4075	1099512	Q7AKK4		ABC transport protein, ATP-binding subunit	M29
SCO4118	SCO4118	1099555	Q9KYF2		TetR family transcriptional regulator	M15.1
SCO4142	SCO4142	1099582	Q9KZV9		phosphate-binding protein precursor	Basal machinery
SCO4158	SCO4158	1099598	Q05954			Basal machinery
SCO4180	SCO4180	1099620	Q9K4F8		iron uptake regulatory protein	M27
SCO4183	SCO4183	1099623				Basal machinery
SCO4225	SCO4225	1099665	Q9FCE5			Basal machinery
SCO4228	SCO4228	1099668	Q8CJU3		phosphate transport system regulator	Basal machinery
SCO4229	SCO4229	1099669	Q9L0R2		sensor kinase	Basal machinery
SCO4230	SCO4230	1099670	Q9L0R1		response regulator	Global regulator
SCO4237	SCO4237	1099677	Q9L0Q4			Basal machinery
SCO4248	SCO4248	1099688	Q9L0P3			Basal machinery
SCO4249	SCO4249	1099689	Q9L0P2			Basal machinery
SCO4261	SCO4261	1099701	Q9K4F1		response regulator	Basal machinery
SCO4262	SCO4262	1099702	Q9K4F0		hypothetical protein	Basal machinery
SCO4284	SCO4284	1099724	Q9KXV7			Basal machinery
SCO4285	SCO4285	1099725	Q9KXV6			Basal machinery
SCO4293	SCO4293	1099733	Q9KXU8			Basal machinery
SCO4402	SCO4402	1099842	Q9K3U3			Basal machinery
SCO4425	SCO4425	1099865	Q7AKJ6		sigma-like protein	Basal machinery
SCO4471	SCO4471	1099911	Q9F2R8			Basal machinery
SCO4503	SCO4503	1099943	Q9L0U1			Basal machinery
SCO4561	SCO4561	1100001	Q9XAQ3			Basal machinery
SCO4596	SCO4596	1100036	Q9F2W5			Global regulator
SCO4677	SCO4677	1100118	Q9L0G5			Basal machinery
SCO4683	SCO4683	1100124	Q9L0F9		glutamate dehydrogenase	Basal machinery
SCO4768	SCO4768	1100209	Q7AKI8		two-component regulator	M4
SCO4777	SCO4777	1100218	Q9L0I0			Basal machinery
SCO4878	SCO4878	1100319	Q9AK48			Basal machinery
SCO4879	SCO4879	1100320	Q9AK47		hypothetical protein	Basal machinery
SCO4883	SCO4883	1100324	Q9AK43			Basal machinery
SCO4908	SCO4908	1100349	Q8R5N3			Basal machinery
SCO4921	SCO4921	1100362				Basal machinery
SCO4924	SCO4924	1100365	Q9EWV7			Basal machinery
SCO4947	SCO4947	1100388	Q9EWF3			Basal machinery
SCO5003	SCO5003	1100444	Q9KY99			Basal machinery
SCO5004	SCO5004	1100445	Q9KY98			Basal machinery
SCO5032	SCO5032	1100473	Q9FBP5		alkyl hydroperoxide reductase	M21
SCO5033	SCO5033	1100474	Q9FBP4		hydrogen peroxide sensing regulator	M21
SCO5071	SCO5071	1100512	Q7AKI2		hydroxylacyl-CoA dehydrogenase	Basal machinery
SCO5072	SCO5072	1100513	Q7AKI1		hydroxylacyl-CoA dehydrogenase	Basal machinery
SCO5082	SCO5082	1100523	Q7AKH5		transcriptional regulatory protein	M8
SCO5087	SCO5087	1100528	Q02059		actinorhodin polyketide beta-ketoacyl synthase alpha subunit	Basal machinery
SCO5206	SCO5206	1100647	Q7AKH0		hydrogen peroxide sensitive repressor	M10
SCO5226	SCO5226	1100667	Q9K496		ribonucleotide-diphosphate reductase large chain	Basal machinery
SCO5232	SCO5232	1100673	Q9K491			Basal machinery
SCO5239	SCO5239	1100680	Q8CJS0			Basal machinery
SCO5260	SCO5260	1100701	Q9F3K5			M15.2
SCO5281	SCO5281	1100722	Q9FBR4	kgd		Basal machinery
SCO5315	SCO5315	1100755	P23154		polyketide cyclase	Basal machinery
SCO5320	SCO5320	1100760	P23158		whiE protein I	Basal machinery
SCO5321	SCO5321	1100761	P42534		polyketide hydroxylase	M11
SCO5326	SCO5326	1100766	Q9XAG7			Basal machinery
SCO5376	SCO5376	1100816	Q7AKG2			Basal machinery
SCO5385	SCO5385	1100825	Q9K4C6			Basal machinery
SCO5393	SCO5393	1100833	Q9K4B8			Basal machinery
SCO5405	SCO5405	1100845	Q9L2B5			Global regulator
SCO5423	SCO5423	1100863	Q9L299			Basal machinery
SCO5447	SCO5447	1100887	Q9L1F8			Basal machinery
SCO5544	SCO5544	1100984	O86525			Basal machinery
SCO5545	SCO5545	1100985	O86526			Basal machinery
SCO5550	SCO5550	1100990	O86531			Basal machinery
SCO5552	SCO5552	1100992	O86533			Global regulator
SCO5583	SCO5583	1101024	Q9ZBP6		ammonium transporter	Basal machinery
SCO5584	SCO5584	1101025	Q8CJR0		nitrogen regulatory protein P-II	Basal machinery
SCO5673	SCO5673	1101112	O86826			Basal machinery
SCO5707	SCO5707	1101146	Q9Z526			Basal machinery
SCO5774	SCO5774	1101216	O50492			Basal machinery
SCO5775	SCO5775	1101217	O50493			Basal machinery
SCO5776	SCO5776	1101218	O50494			Basal machinery
SCO5777	SCO5777	1101219	O50495			Basal machinery
SCO5778	SCO5778	1101220	O50496			Global regulator
SCO5819	SCO5819	1101261	Q7AKF5		sporulation transcription factor, WhiH	M5
SCO5842	SCO5842	1101284	O50516			Basal machinery
SCO5864	SCO5864	1101306	O54130			Basal machinery
SCO5881	SCO5881	1101323	Q7AKF4		response regulator	M24
SCO5896	SCO5896	1101338	Q8CJQ2			Basal machinery
SCO5911	SCO5911	1101353	O54107			Basal machinery
SCO5912	SCO5912	1101354	O54108			Basal machinery
SCO5978	SCO5978	1101420	Q93JE9			Basal machinery
SCO5979	SCO5979	1101421	Q93JE8			Basal machinery
SCO5999	SCO5999	1101441	Q7AKF3			Basal machinery
SCO6004	SCO6004	1101446	Q8CJP8			Basal machinery
SCO6008	SCO6008	1101450	O50502			M3
SCO6012	SCO6012	1101454	O50506			Basal machinery
SCO6029	SCO6029	1101470	O69859		two-component regulator	M5
SCO6032	SCO6032	1101473	O69862			Basal machinery
SCO6033	SCO6033	1101474	O69863			Basal machinery
SCO6040	SCO6040	1101481	O69870			Basal machinery
SCO6041	SCO6041	1101482	Q8CJP6			Basal machinery
SCO6071	SCO6071	1101512	Q7AKF2			Basal machinery
SCO6102	SCO6102	1101543	Q9ADG1			Basal machinery
SCO6169	SCO6169	1101610	Q9ZBP0			Basal machinery
SCO6170	SCO6170	1101611	Q9ZBN9			Basal machinery
SCO6194	SCO6194	1101635	Q9Z5A8		response regulator	M18
SCO6195	SCO6195	1101636	Q9Z5A7		acetyl-coenzyme A synthetase	M18
SCO6198	SCO6198	1101639	Q9Z5A4			Basal machinery
SCO6207	SCO6207	1101648	Q9Z595			Basal machinery
SCO6222	SCO6222	1101663	O86587			Basal machinery
SCO6256	SCO6256	1101697	Q9RKT6			Global regulator
SCO6265	SCO6265	1101706	Q7AKF1		gamma-butyrolactone binding protein	Global regulator
SCO6266	SCO6266	1101707	Q7AKF0		ScbA protein	M1
SCO6268	SCO6268	1101709	Q9RKS6			Basal machinery
SCO6271	SCO6271	1101712				Basal machinery
SCO6272	SCO6272	1101713	Q9EX55			Basal machinery
SCO6275	SCO6275	1101716	Q8CJN6			Basal machinery
SCO6276	SCO6276	1101717	Q93S13		secreted protein	Basal machinery
SCO6280	SCO6280	1101721	Q93S09		regulatory protein	Basal machinery
SCO6282	SCO6282	1101723	Q93S07		3-oxoacyl-[acyl-carrier protein] reductase	Basal machinery
SCO6283	SCO6283	1101724	Q93S06			Basal machinery
SCO6286	SCO6286	1101727	Q93S03			Global regulator
SCO6288	SCO6288	1101729	Q93RY4			Basal machinery
SCO6289	SCO6289	1101730	Q93RY3			Basal machinery
SCO6294	SCO6294	1101735	Q93RX8			Global regulator
SCO6295	SCO6295	1101736	Q93RX7			Basal machinery
SCO6300	SCO6300	1101741	Q93RU1			Basal machinery
SCO6312	SCO6312	1101753	Q7AKE7			Basal machinery
SCO6323	SCO6323	1101764	Q93RS2			Basal machinery
SCO6324	SCO6324	1101765	Q93RS1			Basal machinery
SCO6344	SCO6344	1101785	O86613			Basal machinery
SCO6345	SCO6345	1101786	O86614			Basal machinery
SCO6377	SCO6377	1101818	O86669			Basal machinery
SCO6451	SCO6451	1101890	Q9ZBG2		substrate binding protein	M27
SCO6459	SCO6459	1101898	Q9ZBF4			M7
SCO6460	SCO6460	1101899	Q9ZBF3			M7
SCO6486	SCO6486	1101925	Q9ZBI8			Basal machinery
SCO6614	SCO6614	1102053	O86548			Basal machinery
SCO6681	SCO6681	1102120	O88037		serine/threonine protein kinase	M29
SCO6685	SCO6685	1102124	Q7AKE4		two-component system response regulator	M29
SCO6705	SCO6705	1102144	Q9XAM5			Basal machinery
SCO6706	SCO6706	1102145	Q9XAM4			Basal machinery
SCO6728	SCO6728	1102167	Q9X7N4			Basal machinery
SCO6748	SCO6748	1102187	Q9X7Q4			Basal machinery
SCO6809	SCO6809	1102248	Q9L223			Basal machinery
SCO6974	SCO6974	1102412	Q9KZB5			Global regulator
SCO6978	SCO6978	1102416	Q9KZH4			Basal machinery
SCO6979	SCO6979	1102417	Q9KZH3			Basal machinery
SCO6985	SCO6985	1102423	Q9KZG7			Basal machinery
SCO6992	SCO6992	1102430	Q7AKD9			Basal machinery
SCO7000	SCO7000	1102438	Q9KZF3			Basal machinery
SCO7056	SCO7056	1102494	Q9FC28			Basal machinery
SCO7094	SCO7094	1102532	Q9KZ38			M16
SCO7155	SCO7155	1102593	Q9FBT7			Basal machinery
SCO7162	SCO7162	1102600	Q9FBT0			Basal machinery
SCO7163	SCO7163	1102601	Q9FBS9			Basal machinery
SCO7164	SCO7164	1102602	Q9FBS8			Basal machinery
SCO7165	SCO7165	1102603	Q9FBS7		sugar-binding integral membrane transport protein	Basal machinery
SCO7166	SCO7166	1102604	Q9FBS6		sugar-transporter integral membrane protein	Basal machinery
SCO7167	SCO7167	1102605	Q9FBS5		secreted sugar-binding protein	M6
SCO7168	SCO7168	1102606	Q9FBS4		GntR family transcriptional regulator	M6
SCO7176	SCO7176	1102614	Q9FC06			Basal machinery
SCO7177	SCO7177	1102615	Q9FC05			Basal machinery
SCO7225	SCO7225	1102663	Q9K460			Basal machinery
SCO7263	SCO7263	1102701	Q9S6T0			Basal machinery
SCO7273	SCO7273	1102711	Q9X7S7			Basal machinery
SCO7302	SCO7302	1102740	Q9K4L2			Basal machinery
SCO7303	SCO7303	1102741	Q9K4L1			Basal machinery
SCO7314	SCO7314	1102752	Q9K4K0		RNA polymerase sigma factor	Basal machinery
SCO7336	SCO7336	1102774	Q7AKD3			Basal machinery
SCO7337	SCO7337	1102775	Q7AKD2			Basal machinery
SCO7339	SCO7339	1102777	Q9KY02			Basal machinery
SCO7340	SCO7340	1102778	Q9KY01			Basal machinery
SCO7393	SCO7393	1102831	Q9L184			Basal machinery
SCO7428	SCO7428	1102866	Q9L131			M16
SCO7460	SCO7460	1102898	Q9L155			Basal machinery
SCO7613	SCO7613	1103051	Q9F3E4			Basal machinery
SCO7623	SCO7623	1103061	Q9F3D4	pntA		Basal machinery
SCO7632	SCO7632	1103070	Q9F3Q5			Basal machinery
SCO7676	SCO7676	1103114	Q9EWQ1			Basal machinery
SCO7681	SCO7681	1103119	Q9EWP6			Basal machinery
SCO7682	SCO7682	1103120	Q9EWP5			Basal machinery
SCO7697	SCO7697	1103135	Q7AKC6		secreted hydrolase	Basal machinery
SCOr14	SCOr14	1099561		rrnA		Basal machinery
SCOt24	SCOt24	1098521		bldA		Basal machinery
aceB	SCO6243	1101684	Q9RKU9			Basal machinery
actII-2	SCO5083	1100524	P46105		actinorhodin transporter	M8
actII-3	SCO5084	1100525	Q53902		hypothetical protein	M8
actII-4	SCO5085	1100526	P46106		actinorhodin cluster activator protein	Global regulator
actIII	SCO5086	1100527	P16544		ketoacyl reductase	Basal machinery
afsK	SCO4423	1099863	P54741			Basal machinery
afsQ1	SCO4907	1100348	Q04942			Global regulator
afsR	SCO4426	1099866	P25941	afsB	regulatory protein	Global regulator
ahpD	SCO5031	1100472	Q7AKI6		hypothetical protein	M21
amfC	SCO4184	1099624	Q54191			M30
argC	SCO1580	1097011	P54895			Basal machinery
argF	SCO5976	1101418	Q93JF1	arcB		Basal machinery
argG	SCO7036	1102474	P24532			Basal machinery
argH	SCO1570	1097001	Q9L1B1			Basal machinery
argR	SCO1576	1097007	Q9L1A5			Global regulator
arsI	SCO3067	1098500	Q9RIS6			Basal machinery
bfr	SCO2113	1097547	Q9S2N0			Basal machinery
carB	SCO1483	1096909	Q9KXR6	pyrA		Basal machinery
dagA	SCO3471	1098908	P07883		extracellular agarase precursor	Basal machinery
dasR	SCO5231	1100672	Q9K492		GntR family transcriptional regulator	Global regulator
dmdR1	SCO4394	1099834	Q7AKJ7		iron repressor	M13
dnaJ1	SCO3669	1099105	P40170		molecular chaperone	M2
dnaK	SCO3671	1099107	Q05558			M2
dxs2	SCO6013	1101455	Q8CJP7			Basal machinery
ecaA	SCO7008	1102446	Q9KZE5			Basal machinery
ecaD1	SCO4266	1099706	Q9FBQ4			Basal machinery
ectA	SCO1864	1097298	Q93RW2			Basal machinery
ftsZ	SCO2082	1097516	P45500			Basal machinery
furA	SCO0561	1095984	Q7BR72		Fe regulatory protein	M23
gap	SCO1947	1097381	Q9Z518			Basal machinery
glnA	SCO2198	1097631	P15106		glutamine synthetase I	Basal machinery
glnD	SCO5585	1101026	O69873		PII uridylyl-transferase	Basal machinery
glnR	SCO4159	1099599	Q05943		transcriptional regulatory protein	Global regulator
grpE	SCO3670	1099106	Q05562		heat chock protein	M2
hisD	SCO2054	1097488	P16245			Basal machinery
hpd	SCO2927	1098360	Q9S2F4		4-hydroxyphenylpyruvate dioxygenase	M14
hrdA	SCO2465	1097899	P18182			Basal machinery
hrdB	SCO5820	1101262	P18183	sigA	RNA polymerase sigma factor	Global regulator
hrdD	SCO3202	1098636	P18249		RNA polymerase principal sigma factor	M3
hspR	SCO3668	1099104	P40183		heat shock protein	M2
htpX1	SCO2202	1097635	Q9RKN3			Basal machinery
katG	SCO0560	1095983	Q9RJH9	catC,cpeB	catalase/peroxidase	M23
leuA	SCO2528	1097962	O31046			Basal machinery
leuB	SCO5522	1100962	O86504			Basal machinery
leuC	SCO5553	1100993	O86534			Basal machinery
lipA	SCO2194	1097627	Q9S2P2			M25
lon	SCO5285	1100726	Q9EVK2		ATP-dependent protease	Basal machinery
malR	SCO2232	1097665	P72396		maltose operon transcriptional repressor	Basal machinery
mca	SCO4967	1100408	Q9ADK0			Basal machinery
mdh	SCO4827	1100268	Q9K3J3		malate dehydrogenase	Basal machinery
mshA	SCO4204	1099644	Q9FCG5		glycosyltransferase	Basal machinery
murC	SCO6060	1101501	Q9X827			Basal machinery
nagB	SCO5236	1100677	Q9K487			Basal machinery
nsrR	SCO7427	1102865	Q9L132			M16
ptsH	SCO5841	1101283	O50515		phosphocarrier protein HPr	Basal machinery
ptsI	SCO1391	1096817	Q9KZP1		phosphoenolpyruvate-protein phosphotransferase	Basal machinery
pyrB	SCO1487	1096913	Q9KXR2			Basal machinery
pyrR	SCO1488	1096914	Q9KXR1			Basal machinery
rbsA1	SCO0811	1096234	Q8CK44			Basal machinery
redD	SCO5877	1101319	P16922		transcriptional regulator RedD	M3
rex	SCO3320	1098754	Q9WX14		redox-sensing transcriptional repressor Rex	Basal machinery
rpmB2	SCO3429	1098866	Q9X8K8			Basal machinery
rpmF2	SCO0436	1095859	Q9RL50			Basal machinery
rpoZ	SCO1478	1096904	Q9KXS1			Basal machinery
rpsD	SCO1505	1096931	Q9KXP5			Basal machinery
rpsL	SCO4659	1100100	P0A4A3			Basal machinery
rrnD	rrnD					Basal machinery
rsbA	SCO0599	1096022	Q9R422			M28
rsrA	SCO5217	1100658	Q7AKG8		anti-sigma factor	Basal machinery
serS	SCO3961	1099397	Q9ZBX1			Basal machinery
sigB	SCO0600	1096023	Q9R3I8		RNA polymerase sigma factor sig8	M28
sigE	SCO3356	1098793	P38133		ECF sigma factor	Global regulator
sigF	SCO4035	1099471	P37971	rpoX	RNA polymerase sigma factor	M11
sigH	SCO5243	1100684	Q9RIT0		RNA polymerase sigma factor	Global regulator
sigI	SCO3068	1098501	Q9RIS5			Basal machinery
sigR	SCO5216	1100657	Q7AKG9		RNA polymerase sigma factor RpoE	Global regulator
sti1	SCO0762	1096185	P61152			Basal machinery
tam	SCO3132	1098566	Q9K3T2			Basal machinery
