Node	MeanAbsOutCoh	MeanAbsInCoh	NodeLevel	DiagCohval	Locus_tag	NCBI_gene_ID	Uniprot_ID	Synonyms	Product_function	NDA_component	Uniprot_ID_clean	GO_terms	Is_TF_GO	Is_SignalingReceptor_GO	Is_HistKinase_GO	Is_SignallingTransducer_GO
pks6		0.9104140670245819	Output		pks6	886407.0	O86335	RVBD_0405	membrane bound polyketide synthase	Intermodular	O86335	['GO:0004315', 'GO:0004312', 'GO:0031177']	False	False	False	False
Rv2556c		1.0	Output		Rv2556c	887451.0	P9WFP9	RVBD_2556c	hypothetical protein	Basal machinery	P9WFP9	[]	False	False	False	False
fadD8		1.0	Output		fadD8	887526.0	O06417	RVBD_0551c	fatty-acid--CoA ligase FadD8	Basal machinery	O06417	['GO:0005524', 'GO:0004467', 'GO:0031956']	False	False	False	False
Rv1913		1.0	Output		Rv1913	885640.0	O07720	RVBD_1913	hypothetical protein	Basal machinery	O07720	[]	False	False	False	False
Rv1628c		1.0	Output		Rv1628c	885289.0	O06145	RVBD_1628c	hypothetical protein	Basal machinery	O06145	[]	False	False	False	False
sugB		1.0	Output		sugB	887121.0	P9WG01	RVBD_1237	sugar ABC transporter permease SugB	Basal machinery	P9WG01	[]	False	False	False	False
log		0.7627761329749069	Output		log	886075.0	O05306	RVBD_1205,LH57_06605	hypothetical protein	Basal machinery	O05306	['GO:0102682', 'GO:0016799']	False	False	False	False
fadB5		1.0	Output		fadB5	885245.0	O07721	RVBD_1912c	oxidoreductase FadB	Basal machinery	O07721	['GO:0016491', 'GO:0008270']	False	False	False	False
Rv3531c		1.0	Output		Rv3531c	888348.0	I6XHH2	RVBD_3531c	hypothetical protein	M17	I6XHH2	[]	False	False	False	False
Rv0953c		1.0	Output		Rv0953c	885419.0	P9WKN5	RVBD_0953c	oxidoreductase	Basal machinery	P9WKN5	['GO:0016705']	False	False	False	False
Rv2799		1.0	Output		Rv2799	887759.0	I6XFB7	RVBD_2799	membrane protein	Basal machinery	I6XFB7	[]	False	False	False	False
Rv0257		1.0	Output		Rv0257	3205110.0	L7N694	RVBD_0257	hypothetical protein	Basal machinery	L7N694	[]	False	False	False	False
narI		1.0	Output		narI	888935.0	O06562	RVBD_1164	nitrate reductase subunit gamma	Basal machinery	O06562	['GO:0009055', 'GO:0020037', 'GO:0046872', 'GO:0008940']	False	False	False	False
purD		1.0	Output		purD	888873.0	P9WHM9	RVBD_0772	phosphoribosylamine--glycine ligase	Basal machinery	P9WHM9	['GO:0005524', 'GO:0046872', 'GO:0004637']	False	False	False	False
narG		1.0	Output		narG	885573.0	P9WJQ3	RVBD_1161	nitrate reductase subunit alpha	Basal machinery	P9WJQ3	['GO:0051539', 'GO:0046872', 'GO:0043546', 'GO:0160182', 'GO:0008940']	False	False	False	False
parD1		1.0	Output		parD1	885957.0	P9WIJ7	RVBD_1960c	antitoxin ParD1	Basal machinery	P9WIJ7	['GO:0097351']	False	False	False	False
Rv3521		1.0	Output		Rv3521	887209.0	O53566	RVBD_3521	hypothetical protein	M1.7	O53566	[]	False	False	False	False
Rv3371		1.0	Output		Rv3371	888053.0	P9WKA9	RVBD_3371	diacyglycerol O-acyltransferase	Basal machinery	P9WKA9	['GO:0004144', 'GO:0008374']	False	False	False	False
fadA5		1.0	Output		fadA5	887360.0	I6XHI4	RVBD_3546	acetyl-CoA acetyltransferase FadA	M17	I6XHI4	['GO:0003988', 'GO:0042802']	False	False	False	False
vapB42	1.0	1.0	Middle	1.0	vapB42	887705.0	P9WJ19	RVBD_2760c	antitoxin VapB42	Basal machinery	P9WJ19	[]	False	False	False	False
vapB40	1.0	1.0	Middle	1.0	vapB40	887682.0	P9WFC3	RVBD_2595,vapB-mt25	antitoxin VapB40	Basal machinery	P9WFC3	['GO:0003677']	False	False	False	False
whiB5	1.0		Input		whiB5	887071.0	P71592	RVBD_0022c	transcriptional regulator WhiB5	Global regulator	P71592	['GO:0051539', 'GO:0035731', 'GO:0003677', 'GO:0046872']	False	False	False	False
rtcB		1.0	Output		rtcB	887431.0	P9WGW5	RVBD_2631	RNA-splicing ligase RtcB	Basal machinery	P9WGW5	['GO:0005525', 'GO:0046872', 'GO:0170057']	False	False	False	False
Rv0030		1.0	Output		Rv0030	887051.0	P9WM95	RVBD_0030	hypothetical protein	Basal machinery	P9WM95	[]	False	False	False	False
Rv2409c		1.0	Output		Rv2409c	885674.0	P71734	RVBD_2409c	hypothetical protein	Basal machinery	P71734	[]	False	False	False	False
Rv2078		1.0	Output		Rv2078	888071.0	P9WLK9	RVBD_2078	hypothetical protein	Basal machinery	P9WLK9	[]	False	False	False	False
glyA2		1.0	Output		glyA2	886983.0	P9WGI7	RVBD_0070c	serine hydroxymethyltransferase	Basal machinery	P9WGI7	['GO:0004372', 'GO:0042803', 'GO:0030170']	False	False	False	False
cas6		1.0	Output		cas6	888945.0	P9WPJ1	RVBD_2824c	CRISPR-associated endoribonuclease Cas6	Basal machinery	P9WPJ1	['GO:0004519', 'GO:0003723']	False	False	False	False
Rv0309		1.0	Output		Rv0309	886574.0	O07236	RVBD_0309	hypothetical protein	Basal machinery	O07236	['GO:0016740']	False	False	False	False
ctpD		1.0	Output		ctpD	886578.0	P9WPT3	RVBD_1469	cobalt/nickel-exporting P-type ATPase	Basal machinery	P9WPT3	['GO:0005524', 'GO:0016887', 'GO:0019829', 'GO:0046872']	False	False	False	False
Rv0029		1.0	Output		Rv0029	887053.0	P71599	RVBD_0029	hypothetical protein	Basal machinery	P71599	[]	False	False	False	False
cut3		1.0	Output		cut3	887611.0	P9WP39	RVBD_3451	cutinase	Basal machinery	P9WP39	['GO:0106435', 'GO:0016298']	False	False	False	False
Rv3468c		1.0	Output		Rv3468c	888007.0	Q6MWX3	RVBD_3468c	dTDP-glucose 4,6-dehydratase	Basal machinery	Q6MWX3	[]	False	False	False	False
Rv2077A		1.0	Output		Rv2077A	3205060.0	L7N6B8	RVBD_2077A	hypothetical protein	Basal machinery	L7N6B8	[]	False	False	False	False
eccB4		1.0	Output		eccB4	887619.0	P9WNR1	RVBD_3450c	ESX-4 secretion system protein EccB4	Basal machinery	P9WNR1	['GO:0005524', 'GO:0016787']	False	False	False	False
Rv3492c		1.0	Output		Rv3492c	888381.0	I6YGA5	RVBD_3492c	Mce associated protein	M1.33	I6YGA5	[]	False	False	False	False
Rv2798c		1.0	Output		Rv2798c	888431.0	P71653	RVBD_2798c	hypothetical protein	Basal machinery	P71653	[]	False	False	False	False
whiB4	1.0	0.8095123527857677	Middle		whiB4	885320.0	P9WF39	RVBD_3681c	transcriptional regulator WhiB4	Global regulator	P9WF39	['GO:0051539', 'GO:0035731', 'GO:0003677', 'GO:0046872', 'GO:0047134']	False	False	False	False
phoP	1.0	0.9019934908728859	Middle	1.0	phoP	888772.0	P71814	RVBD_0757	two component system response transcriptional positive regulator PhoP	Global regulator	P71814	['GO:0046872', 'GO:0000156', 'GO:0000976']	False	False	False	True
whiB6	1.0	1.0	Middle		whiB6	886190.0	P9WF37	RVBD_3862c	transcriptional regulator WhiB6	M1.36	P9WF37	['GO:0051539', 'GO:0035731', 'GO:0003677', 'GO:0046872']	False	False	False	False
Rv3779		0.8775115663991938	Output		Rv3779	886107.0	P72045	RVBD_3779	transmembrane protein	M1.36	P72045	['GO:0016758']	False	False	False	False
Rv3778c		1.0	Output		Rv3778c	886116.0	P9WQ67	RVBD_3778c	aminotransferase	M1.36	P9WQ67	[]	False	False	False	False
espB		1.0	Output		espB	886214.0	P9WJD9	mtb48,RVBD_3881c	ESX-1 secretion-associated protein EspB	M1.36	P9WJD9	['GO:0042802']	False	False	False	False
PE35		1.0	Output		PE35	886191.0	P9WIG7	RVBD_3872	PE family protein PE35	M1.36	P9WIG7	[]	False	False	False	False
whiB3	1.0		Input		whiB3	887598.0	P9WF41	RVBD_3416	redox-responsive transcriptional regulator WhiB3	M1.38	P9WF41	['GO:0051539', 'GO:0035731', 'GO:0003677', 'GO:0051536', 'GO:0046872', 'GO:0047134', 'GO:0015035']	False	False	False	False
yrbE1A		0.9742083845414589	Output		yrbE1A	886816.0	O07412	RVBD_0167	membrane protein	Intermodular	O07412	['GO:0005548']	False	False	False	False
Rv0950c		1.0	Output		Rv0950c	885438.0	P71560	RVBD_0950c	hypothetical protein	M1.38	P71560	['GO:0004222']	False	False	False	False
whiB2	1.0	1.0	Middle		whiB2	888687.0	O53353	RVBD_3260c	transcriptional regulator WhiB2	M1.39	O53353	['GO:0051539', 'GO:0035731', 'GO:0003677', 'GO:0046872', 'GO:0047134']	False	False	False	False
Rv2331		0.9147989825595959	Output		Rv2331	888099.0	P9WLB3	RVBD_2331	hypothetical protein	M1.39	P9WLB3	[]	False	False	False	False
Rv3587c		1.0	Output		Rv3587c	888057.0	O53572	RVBD_3587c	membrane protein	M1.39	O53572	[]	False	False	False	False
sepF		1.0	Output		sepF	887394.0	P9WGJ5	RVBD_2147c	cell division protein SepF	M1.39	P9WGJ5	[]	False	False	False	False
Rv0681	1.0		Input		Rv0681	888239.0	O53789	RVBD_0681	transcriptional regulator	M17	O53789	['GO:0003700', 'GO:0000976']	True	False	False	False
Rv3167c	1.0		Input		Rv3167c	888763.0	O53317	RVBD_3167c	TetR family transcriptional regulator	M1.20	O53317	['GO:0003700', 'GO:0000976']	True	False	False	False
Rv1895		1.0	Output		Rv1895	885148.0	O07737	RVBD_1895	zinc-binding alcohol dehydrogenase	M1.20	O07737	['GO:0004022', 'GO:0008270']	False	False	False	False
Rv0330c	1.0	1.0	Middle	1.0	Rv0330c	886540.0	O07254	RVBD_0330c	hypothetical protein	M1.19	O07254	['GO:0003700', 'GO:0000976']	True	False	False	False
whiA	1.0		Input		whiA	886674.0	P9WF45	RVBD_1423	transcriptional regulator WhiA	Global regulator	P9WF45	['GO:0003677']	False	False	False	False
plcB		1.0	Output		plcB	885999.0	P9WIB3	mpcB,RVBD_2350c	membrane-associated phospholipase B	Basal machinery	P9WIB3	['GO:0034480', 'GO:0004629', 'GO:0004767']	False	False	False	False
Rv1456c		1.0	Output		Rv1456c	886591.0	O53148	RVBD_1456c	antibiotic ABC transporter permease	M1.1	O53148	[]	False	False	False	False
uvrD2		1.0	Output		uvrD2	888902.0	P9WMP9	RVBD_3198c	ATP-dependent DNA helicase UvrD	Basal machinery	P9WMP9	['GO:0043138', 'GO:0005524', 'GO:0016887', 'GO:0008094', 'GO:0003677', 'GO:0003678', 'GO:0000287']	False	False	False	False
Rv3604c		1.0	Output		Rv3604c	885232.0	O06278	RVBD_3604c	transmembrane protein	Basal machinery	O06278	[]	False	False	False	False
fadE2		0.9721794010817103	Output		fadE2	886836.0	P96831	RVBD_0154c	acyl-CoA dehydrogenase FadE2	Basal machinery	P96831	['GO:0003995', 'GO:0050660']	False	False	False	False
ispE		1.0	Output		ispE	886034.0	P9WKG7	RVBD_1011	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase	Basal machinery	P9WKG7	['GO:0050515', 'GO:0005524']	False	False	False	False
mtb12		0.913997971779237	Output		mtb12	885515.0	P9WIN7	cfp2,RVBD_2376c	low molecular weight antigen MTB12	Basal machinery	P9WIN7	[]	False	False	False	False
Rv1320c		1.0	Output		Rv1320c	886906.0	P9WQ29	RVBD_1320c	adenylate cyclase	Basal machinery	P9WQ29	['GO:0004016']	False	False	False	False
Rv1990c	1.0	1.0	Middle	1.0	Rv1990c	885422.0	P9WLP7	RVBD_1990c	transcriptional regulator	Global regulator	P9WLP7	[]	False	False	False	False
Rv1255c	1.0	1.0	Middle		Rv1255c	887068.0	P9WMD5	RVBD_1255c	HTH-type transcriptional regulator	Global regulator	P9WMD5	['GO:0003700', 'GO:0000976']	True	False	False	False
nirB		0.919834097258494	Output		nirB	886665.0	O53674	RVBD_0252	nitrite reductase large subunit NirB	M27	O53674	['GO:0051537', 'GO:0051539', 'GO:0050660', 'GO:0020037', 'GO:0046872', 'GO:0050661', 'GO:0098809', 'GO:0016491', 'GO:0050311']	False	False	False	False
dosT		1.0	Output		dosT	888471.0	P9WGK1	RVBD_2027c	two component sensor histidine kinase DosT	Basal machinery	P9WGK1	['GO:0005524', 'GO:0005509', 'GO:0070025', 'GO:0020037', 'GO:0000287', 'GO:0070026', 'GO:0019825', 'GO:0019826', 'GO:0000155', 'GO:0046983', 'GO:0004673', 'GO:0004672']	False	False	False	False
rpiB		1.0	Output		rpiB	887225.0	P9WKD7	RVBD_2465c	ribose-5-phosphate isomerase B	Basal machinery	P9WKD7	['GO:0004751']	False	False	False	False
fadD14		1.0	Output		fadD14	887133.0	O53406	RVBD_1058	fatty-acid--CoA ligase FadD14	Basal machinery	O53406	['GO:0016405']	False	False	False	False
secA1		1.0	Output		secA1	888860.0	P9WGP5	RVBD_3240c	protein translocase subunit SecA	Basal machinery	P9WGP5	['GO:0005524', 'GO:0016887', 'GO:0008564']	False	False	False	False
Rv2469c		1.0	Output		Rv2469c	888591.0	O53196	RVBD_2469c	hypothetical protein	Basal machinery	O53196	[]	False	False	False	False
sapM		1.0	Output		sapM	887988.0	O53361	RVBD_3310	acid phosphatase	Basal machinery	O53361	['GO:0003993', 'GO:0016791', 'GO:0004438', 'GO:0050189', 'GO:0050192', 'GO:0004805']	False	False	False	False
Rv2731		1.0	Output		Rv2731	888300.0	I6XF60	RVBD_2731	alanine/arginine-rich protein	Basal machinery	I6XF60	[]	False	False	False	False
Rv3717		1.0	Output		Rv3717	885602.0	I6Y4D2	RVBD_3717	hypothetical protein	Basal machinery	I6Y4D2	['GO:0046872', 'GO:0008745']	False	False	False	False
glbO		1.0	Output		glbO	887743.0	P9WN23	RVBD_2470	hemoglobin GlbO	Basal machinery	P9WN23	['GO:0020037', 'GO:0046872', 'GO:0019825', 'GO:0005344']	False	False	False	False
trmB		0.5819767068693432	Output		trmB	886740.0	P9WFY9	RVBD_0208c	tRNA (guanine-N(7)-)-methyltransferase	Basal machinery	P9WFY9	['GO:0008176']	False	False	False	False
nei1		1.0	Output		nei1	888500.0	P9WNB9	nei2,RVBD_2464c	DNA glycosylase	Basal machinery	P9WNB9	['GO:0140078', 'GO:0003684', 'GO:0003906', 'GO:0003690', 'GO:0008534', 'GO:0000703', 'GO:0003697', 'GO:0004844', 'GO:0008270']	False	False	False	False
Rv2337c		1.0	Output		Rv2337c	885123.0	P95233	RVBD_2337c	hypothetical protein	Basal machinery	P95233	['GO:0016491']	False	False	False	False
Rv1868		1.0	Output		Rv1868	885757.0	P95147	RVBD_1868	hypothetical protein	Basal machinery	P95147	[]	False	False	False	False
vapB37		1.0	Output		vapB37	888014.0	P9WJ27	RVBD_2104c	antitoxin VapB37	Basal machinery	P9WJ27	[]	False	False	False	False
Rv1977		1.0	Output		Rv1977	885931.0	O53978	RVBD_1977	hypothetical protein	Basal machinery	O53978	['GO:0046872', 'GO:0004222']	False	False	False	False
Rv2991		1.0	Output		Rv2991	887792.0	O53240	RVBD_2991	hypothetical protein	M5	O53240	['GO:0070967', 'GO:0016627']	False	False	False	False
glgC		1.0	Output		glgC	887933.0	P9WN43	RVBD_1213	glucose-1-phosphate adenylyltransferase	Basal machinery	P9WN43	['GO:0005524', 'GO:0008878']	False	False	False	False
Rv0386		1.0	Output		Rv0386	886030.0	O53720	RVBD_0386	transcriptional regulator	Basal machinery	O53720	['GO:0004016', 'GO:0043531', 'GO:0003677', 'GO:0004383', 'GO:0030145']	False	False	False	False
Rv3179		1.0	Output		Rv3179	887947.0	O53329	RVBD_3179	hypothetical protein	Basal machinery	O53329	[]	False	False	False	False
ilvG		1.0	Output		ilvG	885738.0	P9WG39	RVBD_1820	acetolactate synthase large subunit IlvG	Basal machinery	P9WG39	['GO:0003984', 'GO:0050660', 'GO:0000287', 'GO:0030976']	False	False	False	False
caeA		1.0	Output		caeA	887857.0	P9WHR3	RVBD_2224c	carboxylesterase A	Basal machinery	P9WHR3	['GO:0106435']	False	False	False	False
Rv0474	1.0	1.0	Middle	1.0	Rv0474	886276.0	P9WMH9	RVBD_0474	HTH-type transcriptional regulator	M1.13	P9WMH9	['GO:0003677', 'GO:0003700']	True	False	False	False
Rv0324	0.8921251442609653	1.0	Middle	1.0	Rv0324	886548.0	O08446	RVBD_0324	transcriptional regulator	Global regulator	O08446	['GO:0003677', 'GO:0003700', 'GO:0004792']	True	False	False	False
Rv2434c		1.0	Output		Rv2434c	885885.0	P71915	RVBD_2434c	transmembrane protein	Basal machinery	P71915	[]	False	False	False	False
Rv2323c		1.0	Output		Rv2323c	885480.0	P71889	RVBD_2323c	hypothetical protein	M2	P71889	['GO:0016403']	False	False	False	False
Rv3636		1.0	Output		Rv3636	885274.0	O06371	RVBD_3636		Basal machinery	O06371	[]	False	False	False	False
Rv0034		1.0	Output		Rv0034	887046.0	P9WM93	RVBD_0034	hypothetical protein	Basal machinery	P9WM93	[]	False	False	False	False
Rv1889c		1.0	Output		Rv1889c		O07743	RVBD_1889c		Basal machinery	O07743	['GO:0008168']	False	False	False	False
Rv2957		1.0	Output		Rv2957	887258.0	P9WMX7	RVBD_2957	PGL/p-HBAD biosynthesis glycosyltransferase	Basal machinery	P9WMX7	['GO:0016757', 'GO:0016758']	False	False	False	False
ctaE		1.0	Output		ctaE	887425.0	P9WP67	RVBD_2193	cytochrome C oxidase subunit III	Basal machinery	P9WP67	['GO:0004129']	False	False	False	False
Rv3221c		1.0	Output		Rv3221c	888096.0	P9WPQ1	RVBD_3221c,TB7.3	hypothetical protein	Basal machinery	P9WPQ1	[]	False	False	False	False
pcp		0.8416360074501835	Output		pcp	886555.0	P9WIJ5	RVBD_0319	pyrrolidone-carboxylate peptidase	Basal machinery	P9WIJ5	['GO:0016920']	False	False	False	False
lsr2	1.0	1.0	Middle	1.0	lsr2	885580.0	P9WIP7	RVBD_3597c	iron-regulated H-NS-like protein	Global regulator	P9WIP7	['GO:0016746', 'GO:0003677']	False	False	False	False
Rv2387		0.8595615974398708	Output		Rv2387	885302.0	P71757	RVBD_2387	hypothetical protein	Basal machinery	P71757	[]	False	False	False	False
Rv0268c		1.0	Output		Rv0268c	886647.0	P95225	RVBD_0268c	hypothetical protein	Basal machinery	P95225	['GO:0003700', 'GO:0043565']	True	False	False	False
mctB		1.0	Output		mctB	885047.0	P9WJ83	RVBD_1698	copper transporter MctB	Basal machinery	P9WJ83	['GO:0015288']	False	False	False	False
cyp136		1.0	Output		cyp136	888883.0	P9WPM7	RVBD_3059	cytochrome P450 Cyp136	Basal machinery	P9WPM7	['GO:0020037', 'GO:0005506', 'GO:0004497', 'GO:0016491', 'GO:0016705']	False	False	False	False
nrdF1		1.0	Output		nrdF1	885923.0	P9WH73	RVBD_1981c	ribonucleoside-diphosphate reductase subunit beta NrdF1	M1.28	P9WH73	['GO:0046872', 'GO:0004748']	False	False	False	False
Rv1936		0.7213178045795622	Output		Rv1936	885882.0	P95278	RVBD_1936	monooxygenase	Basal machinery	P95278	['GO:0004497', 'GO:0016705']	False	False	False	False
Rv1587c		1.0	Output		Rv1587c	886303.0	O06603	RVBD_1587c	hypothetical protein	M1.3	O06603	[]	False	False	False	False
chp2		0.989511392296794	Output		chp2	886063.0	O50440	RVBD_1184c	hypothetical protein	Basal machinery	O50440	['GO:0016746']	False	False	False	False
Rv1533		1.0	Output		Rv1533	886424.0	O06179	RVBD_1533	monooxygenase	Basal machinery	O06179	['GO:0018580']	False	False	False	False
Rv0331		1.0	Output		Rv0331	886534.0	O07255	RVBD_0331	dehydrogenase/reductase	M1.19	O07255	['GO:0016491']	False	False	False	False
Rv0430		0.8595615974398708	Output		Rv0430	886364.0	P96276	RVBD_0430	hypothetical protein	Basal machinery	P96276	[]	False	False	False	False
Rv2452c		0.7909883534346717	Output		Rv2452c	885858.0	O53179	RVBD_2452c	hypothetical protein	Intermodular	O53179	[]	False	False	False	False
Rv1435c		0.7213178045795622	Output		Rv1435c	886653.0	O06823	RVBD_1435c	hypothetical protein	Basal machinery	O06823	[]	False	False	False	False
Rv0854		1.0	Output		Rv0854	885127.0	I6X9Y7	RVBD_0854	hypothetical protein	Basal machinery	I6X9Y7	[]	False	False	False	False
echA3		1.0	Output		echA3	888015.0	I6Y8B5	RVBD_0632c	enoyl-CoA hydratase EchA3	Basal machinery	I6Y8B5	[]	False	False	False	False
PE_PGRS7		0.7213178045795622	Output		PE_PGRS7	887725.0	Q6MX28	RVBD_0578c	PE-PGRS family protein PE_PGRS7	Basal machinery	Q6MX28	[]	False	False	False	False
Rv2516c		0.7213178045795622	Output		Rv2516c	887186.0	I6YDM0	RVBD_2516c	hypothetical protein	Basal machinery	I6YDM0	[]	False	False	False	False
Rv1986		0.7607346584861739	Output		Rv1986	885635.0	P9WK31	RVBD_1986	amino-acid transporter	Basal machinery	P9WK31	['GO:0015171']	False	False	False	False
Rv2132		1.0	Output		Rv2132	887827.0	O06243	RVBD_2132	hypothetical protein	M1.1	O06243	[]	False	False	False	False
Rv3510c		1.0	Output		Rv3510c	888298.0	I6Y3Q7	RVBD_3510c	hypothetical protein	Basal machinery	I6Y3Q7	['GO:0016831', 'GO:0016787']	False	False	False	False
fdxD		1.0	Output		fdxD	888311.0	I6X7H4	RVBD_3503c	ferredoxin FdxD	Basal machinery	I6X7H4	['GO:0051538', 'GO:0009055', 'GO:0005506']	False	False	False	False
Rv2729c		1.0	Output		Rv2729c	888333.0	O33234	RVBD_2729c	integral membrane protein	Basal machinery	O33234	[]	False	False	False	False
glnA2		1.0	Output		glnA2	888238.0	P9WN37	RVBD_2222c	glutamine synthetase	Basal machinery	P9WN37	['GO:0005524', 'GO:0050001', 'GO:0004356', 'GO:0046872']	False	False	False	False
fadD4		1.0	Output		fadD4	886737.0	P96396	RVBD_0214	fatty-acid--CoA ligase FadD4	M1.1	P96396	['GO:0016405']	False	False	False	False
Rv3406		1.0	Output		Rv3406	887955.0	P9WKZ1	RVBD_3406	dioxygenase	M1.6	P9WKZ1	['GO:0016706', 'GO:0046872']	False	False	False	False
moaD1		0.6410694627838153	Output		moaD1	888897.0	L7N6B4	moaD,RVBD_3112	molybdenum cofactor biosynthesis protein MoaD	Basal machinery	L7N6B4	['GO:0000166']	False	False	False	False
cysQ		1.0	Output		cysQ	888142.0	P9WKJ1	RVBD_2131c	3'-phosphoadenosine 5'-phosphate phosphatase	Basal machinery	P9WKJ1	['GO:0008441', 'GO:0050897', 'GO:0042132', 'GO:0008934', 'GO:0000287', 'GO:0030145']	False	False	False	False
